code,name,bao_hanh,base_price,slase_price,img_directory,infor_product
KBCS058,Bàn phím cơ Corsair K95 Platinum XT RGB Mechanical Gaming Cherry MX Blue Switch (CH-9127411-NA),24 tháng,4499000,4299000,Categories/img/Keyboard/250_51720_mat_chinh_dien_ban_phim_co_corsair_k95_platinum_xt_rgb_mechanical_gaming_cherry_mx_blue_switch_ch_9127411_na.jpg,"- Bàn phím cơ Corsair K95 Platinum XT RGB Mechanical Gaming Cherry MX Blue Switch.- Chiếc bàn phím Cao Cấp Nhất của Corsair, thương hiệu Mĩ.- Corsair sử dụng 100% Switch phím cơ đến từ Cherry.- Được bổ sung thêm khu vực led viền trên rất đẹp.- Dãy phím Macro có thể gán nhiều chức năng đặc biệt trong game."
KBRF004,Bàn phím cơ Realforce R2 Silent - Mechanical Topre Variable switch TKL White R2TLS-USV-IV,24 tháng,6039000,5999000,Categories/img/Keyboard/250_47349_keyboard_realforce_r2_silent_mechanical_topre_variable_switch_tkl_white_r2tls_usv_iv_0002_1.jpg,"- Bàn phím RealForce R2 Silent.- Thương hiệu bàn phím cơ cao cấp nhất đến từ Nhật bản.- Thiết kế layout TKL 87 phím gọn gàng.- Switch Topre cao cấp, mang lại cảm giác gõ mượt mà, êm ái.- Tiếng ổn được giảm thiếu tối đa."
KBDK185,Bàn phím cơ Ducky One 2 TKL RGB Cherry Red switch,24 tháng,2999000,2599000,Categories/img/Keyboard/250_46809_keyboard_ducky_one_2_tkl_rgb_cherry_red_switch_0000_2.jpg,"- Bàn phím Ducky One 2 TKL RGB Cherry Red switch.- Thiết kế tối giản 87 phím, tiện lợi, gọn nhẹ.- Day cáp Type-C tháo rời tiện lợi.- Led RGB 16.8 triệu màu với nhiều hiệu ứng.- Sử dụng switch Cherry MX RGB."
KBVM009,Bàn phím cơ Varmilo VA87M Sea Melody - Mechanical Cherry Brown switch,24 tháng,3399000,2899000,Categories/img/Keyboard/250_47103_keyboard_varmilo_va87m_sea_melody_mechanical_cherry_brown_switch_0002_1.jpg,"- Bàn phím cơ Varmilo VA87M Sea Melody.- Thiết kế phong cách  biển cả độc đáo.- Keycap làm bằng nhựa PBT, in Dye-sub bên bỉ.- Sử dung switch Cherry MX cho cảm giác gõ rất tốt."
KBIK040,Bàn phím IKBC CD87 PD (TKL/PBT Doubleshot/Cherry Blue switch),24 tháng,0,1759000,Categories/img/Keyboard/250_51247_ikbc_cd87_1.jpg,"- Bàn phím cơ IKBC CD87 phiên bản PD.- Keycap PBT Doubleshot (PD) dày dặn chắc chắn.- Dùng Switch Cherry nổi tiếng cho cảm giác gõ tốt và độ bền cao.- Build quality chắc chắn, chất lượng rất tốt trong tầm giá.- Layout chuẩn ANSI quốc tế, dễ làm quen."
KBAK002,Bàn phím cơ AKKO 3084 World Tour Tokyo Orange Switch,24 tháng,0,1299000,Categories/img/Keyboard/250_51885_tong_the_ban_phim_co_akko_3084_world_tour_tokyo_orange_switch.jpg,"- Bàn phím cơ AKKO 3084 World Tour Tokyo Orange Switch.- Model: 3084 (84 keys).- Kết nối: USB Type C, có thể tháo rời.- Hỗ trợ NKRO.- Keycap: 85% PBT."
KBFC181,Bàn phím cơ Filco Majestouch Stingray Red switch 87 Black FKBS87XMRL/EB,24 tháng,3729000,3629000,Categories/img/Keyboard/250_46017_keyboard_filco_majestouch_stingray_red_switch_87_black_fkbs87xmrleb_0003_1.jpg,"- Phiên bản hoàn toàn mới của Filco thương hiệu Nhật Bản.- Thay đổi sang loại switch Cherry Low Profile.- Hành trình phím không đổi, đem tới vóc dáng thanh lịch, tinh tế.- Độ bền được giữ nguyên 50 triệu lượt nhấn.- Giảm thiểu hiện tượng Double Click xảy ra do bụi bẩn."
KBRZ071,Bàn phím cơ Razer Blackwidow Elite Yellow Switch (RZ03-02622000-R3M1),24 tháng,4499000,3949000,Categories/img/Keyboard/250_50324_tong_the_keyboard_razer_blackwidow_elite_mechanical_gaming_yellow_switch.jpg,"- Phiên bản cao cấp nhất của dòng phím Razer Blackwidow.- Tất cả các loại switch đều được tối ưu cho game thủ.- 3 loại switch Yellow, Orange, Green cho đặc tính khác nhau.- Tuổi thọ lên tới 80 triệu lượt nhấn.- Trang bị thêm cụm phím Media riêng biệt."
KBED009,Bàn phím cơ E-Dra EK3104 (USB/Outemu Brown Switch/Đơn LED),24 tháng,0,669000,Categories/img/Keyboard/250_48273_ban_phim_e_dra_ek3104_led_mechanical_gaming_outemu_brown_switch.jpg,- Bàn phím cơ E-Dra EK3104.- Sử dụng switch Outemu siêu bền.- Thiết kế full-size 104 phím.- Led Rainbow.- Keycap ABS DoubleShot.
KBSS035,Bàn phím cơ Steelseries Apex Pro RGB - Mechanical Omnipoint switch Gaming Black,24 tháng,5289000,4599000,Categories/img/Keyboard/250_48438_ban_phim_co_steelseries_apex_pro_rgb_mechanical_omnipoint_switch_gaming_black_0003_1.jpg,"- Bàn phím cơ Steelseries Apex Pro RGB - Mechanical Omnipoint switch Gaming Black.- Sử dung Omnipoint switch với khả năng tuỳ chỉnh độ nhạy.- Độ bên trên 50 triệu lần bấm .- Vỏ phím làm bằng nhôm máy bay .- Tích hợp màn hình OLED hiển thị thông số Game, Discord.... ."
