code,name,bao_hanh,base_price,slase_price,img_directory,infor_product
MOHK018,Màn hình HKC M27A9X-W (27 inch/FHD/IPS/75Hz/12ms/220 nits/HDMI+VGA/Cong) ,24 tháng,4499000,4099000,Categories/img/Monitor/250_52514_hkc_m27a9x__4_.jpg,"- LED | Panel VA | 27"" | 1920 x 1080 | 16:9| 75hz.- Độ sáng: 220 cd/m2 | 3000:1 | 16.7 triệu màu.- T/g đáp ứng: 12ms (GTG).- Kết nối: VGA| HDMI.- Góc Nhìn: 170°(H)/160°(V)."
MODE173,Màn hình Dell E2020H (19.5 inch/HD/TN/60Hz/5ms/250 nits/DP+VGA),36 tháng,2499000,2189000,Categories/img/Monitor/250_52974_e2020h__7_.jpg,- Tỉ lệ: 16:9.- Kích thước: 19.5 inch.- Tấm nền: TN.- Độ phân giải: 1600 x 900.- Tốc độ làm mới: 60Hz.
MOLG174,Màn hình LG 27QN880-B (27 inch/2K/IPS/75Hz/5ms/350nits/HDMI+DP+TypeC),24 tháng,13088900,11899000,Categories/img/Monitor/250_53699_27qn880.jpg,"- IPS 27"" QHD (2560x1440).- sRGB 99% (Điển hình) với HDR10.- Chân đế tiện lợi có kẹp chữ C.- Mở ra/Thu vào, Xoay, Chỉnh Trục xoay, Độ cao, Độ nghiêng.- AMD FreeSync™."
MOSA210,Màn hình Samsung LF22T350FHEXXV ((22inch/FHD/IPS/75Hz/5ms/250nits/HDMI+DSub/Freesync) ,24 tháng,2999000,2739000,Categories/img/Monitor/250_54260_22t350__4_.png,"- Thiết kế tràn viền 3 cạnh mở rộng góc nhìn tối đa.- Độ phân giải: 1,920 x 1,080 pixcels.- Tỷ lệ khung hình 16:9.- Độ sáng: 250cd/㎡.- Tỷ lệ tương phản: 1000:1(Typical)."
GIAT149,Giá đỡ 2 màn hình máy tính gắn cạnh bàn North Bayou H160 (17-27 inch),24 tháng,999000,1049000,Categories/img/Monitor/250_53931_nb_h160__2_.png,"- Hỗ trợ màn hình 17” – 27”.- Trọng lượng màn hình hỗ trợ tối đa: 2-9 kg/ mỗi tay đỡ.- Tương thích với chuẩn VESA (75x75mm & 100x100mm)..- Có móc treo giữ cáp cho màn hình..- Chất liệu: nhôm, thép,nhựa, sơn tĩnh điện.."
MOLG181,Màn hình LG 27GN950-B (27inch/4K/NanoIPS/144Hz/1ms/400nits/HDMI+DP+Audio+USB/GSync) ,24 tháng,25199000,21899000,Categories/img/Monitor/250_55494_27gn950__7_.png,- Màn hình LG 27GN950 4K UltraGear chơi game 144Hz đầu tiên trên thế giới.- Tương thích G-Sync và FreeSync Premium Pro chống giật lag xé hình.- Tấm nền Nano IPS góc nhìn rộng màu sắc chi tiết hơn.- Phổ màu DCI-P3 98% cho màu sắc hoàn mĩ đạt chuẩn thiết kế.- VESA DisplayHDR 600 cho màu sắc và độ tương phản nguyên bản.
MODE184,Màn hình Dell S2421HGF (23.8icnh/FHD/TN/144Hz/5ms/350nits/HDMI+DP+USB+Audio),24 tháng,5699000,5499000,Categories/img/Monitor/250_56109_s2421hgf__5_.png,"- Thời gian phản hồi 1ms và tốc độ làm mới 144Hz mang lại trải nghiệm mượt mà, không bị gián đoạn. .- Công nghệ AMD FreeSync Premium.- Chiều cao và khả năng điều chỉnh độ nghiêng cho phép bạn chơi thoải mái trong thời gian dài.- Chân đế thon mới được thiết kế mỏng và kiểu dáng đẹp."
GIAT090,Giá đỡ 2 màn hình máy tính North Bayou F160 (17-27 INCH),24 tháng,1499000,999000,Categories/img/Monitor/250_44515_north_bayou_f160.jpg,"- Kích thước hữu dụng: 10 x10 (cm).- Tải trọng:  15,7kg.- Thành phần: Sắt sơn tĩnh điện, ốp nhựa.."
MOAS152,Màn hình ASUS BE229QLB (21.5 inch/FHD/IPS/250 nits/5ms/DP+DVI+DSub+USB/Speaker) ,24 tháng,3099000,2789000,Categories/img/Monitor/250_51990_asus_be229qlb__4_.png,- Kích thước màn hình	21.5Inch IPS.- Độ sáng	250cd/m2.- Tỷ lệ tương phản	10M:1.- Độ phân giải	Full HD (1920x1080).- Thời gian đáp ứng	5ms.
MOSA155,Màn hình Samsung C27F390FH (27 inch/FHD/LED/PLS/250cd/m²/HDMI+VGA/60Hz/5ms/Màn hình cong),24 tháng,4999000,4489000,Categories/img/Monitor/250_33517_samsung_c27f390fh__4_.png,"- Loại màn hình: LED Full HD Cong.- Kích thước: 27inch.- Độ phân giải: 1920 x 1080 pixels.- Độ tương phản: Mega.- Kết nối: VGA, HDMI."
MOHP091,Màn hình HP V194 (18.5 inch/HD/LED/VGA/60Hz/5ms),24 tháng,1699000,1599000,Categories/img/Monitor/250_35174_hp_v194__4_.png,"- Model	V194.- Kiểu màn hình	Màn hình rộng.- Kích thước màn hình	18.5Inch LED.- Độ sáng	200cd/m2.- Tỷ lệ tương phản	600:1 static; 5,000,000:1 dynamic."
MOAC052,Màn hình Acer EB192QA (18.5 inch/HD/LED/IPS/VGA/200 cd/m²/60Hz/5ms),24 tháng,1813900,1649000,Categories/img/Monitor/250_36814_eb192q__1_.jpg,- Kiểu màn hình	Màn hình rộng.- Kích thước màn hình	18.5Inch.- Độ sáng	200cd/m2.- Tỷ lệ tương phản	100.000.000:1.- Độ phân giải	1366x768.
MOHP114,Màn hình HP 27XQ (27 inch/2K/144Hz/1ms/350cd/m²/DP+HDMI),24 tháng,10899000,9309000,Categories/img/Monitor/250_44049_hp_27xq__4_.png,"- Kích Thước Màn Hình	27''.- Độ Sáng Màn Hình	350 cd/m².- Độ Phân Giải Màn Hình	2560 x 1440 @ 144z Hz QHD (2K).- Thời Gian Đáp Ứng	1ms.- Hỗ trợ màu	16,7 Triệu Màu."
MOSA177,Màn hình Samsung LC34J791WTEXXV (34 inch/2K/PLS/350cd/m²/DP+HDMI/21:9/60Hz/5ms/Cong),24 tháng,45499000,44899000,Categories/img/Monitor/250_44936_samsung_c34j791wtexxv__4_.png,"- Độ Sáng Màn Hình	350 cd/m².- Độ Phân Giải Màn Hình	3,440 x 1,440 (tỉ lệ 21:9).- Thời Gian Đáp Ứng	4ms.- Hỗ trợ màu	16,7 Triệu Màu.- Góc nhìn	178°/178°."
MOAC080,Màn hình Acer HA220QA (21.5 inch/FHD/HDMI+VGA/IPS/75Hz/4ms/màu trắng),24 tháng,3430900,3069000,Categories/img/Monitor/250_49378__ha220q__1_.jpg,- Kích thước màn hình	21.5 inch.- Độ phân giải	1920 x 1080.- Tần số quét	75hz.- Góc nhìn	178° (H) / 178° (V).- Màu màn hình	16.7 triệu.
MOHP124,Màn hình HP Z23N G2 (23 inch/FHD/LED/IPS/250cd/m²/DP+HDMI/60Hz/5ms),24 tháng,4199000,3999000,Categories/img/Monitor/250_47045_hp_z23n_g2__4_.png,- Loại màn hình: Phẳng.- Tỉ lệ: 16:09.- Kích thước: 23 inch.- Tấm nền: IPS.- Độ phân giải: Full HD (1920x1080).
MOAO139,Màn hình AOC C32V1Q/74 (31.5 inch/FHD/WLED/VA/250cd/m²/HDMI+DP+VGA/4 ms/cong),24 tháng,6299000,5699000,Categories/img/Monitor/250_48310_aoc_c32v1q__4_.png,"- Màn hình rộng 31,5 ""cong với độ phân giải Full HD 1920x 1080.- Độ cong 1800R cho trường nhìn rộng hơn.- Bảng điều khiển Va cho góc nhìn rộng và Màu sắc đồng nhất.- Viền hẹp và viền (không viền 3 mặt) cho vẻ ngoài bóng bẩy.- Kết nối Hdmi, DisplayPort và VGA."
MOAS140,Màn hình Asus TUF VG27AQ (27 inch/WQHD/IPS/HDR/165Hz/1ms/350cd/m²/DP+HDMI),24 tháng,12199000,11989000,Categories/img/Monitor/250_49178_vg27aq_tuf_gaming_lcd_27_2k_155hz_1ms_ips_nvidia_gsync.jpg,- Kích thước màn hình	27”.- Độ phân giải	2560x1440 (2K).- Tần số quét	165hz.- Góc nhìn	178° (H) / 178° (V).- Màu màn hình	16.8 triệu.
MOAC082,Màn hình Acer VG271UP (27 inch/2K/IPS/144Hz/1ms/400cd/m²/HDMI+DP/1 bilion/HDR400),24 tháng,0,9599000,Categories/img/Monitor/250_50032_vg271up__1_.jpg,- Kích thước màn hình	27 inch.- Độ phân giải	2560 x 1440.- Tần số quét	144 Hz.- Màu màn hình	1.07 tỉ.- Độ sáng	350 cd/m2.
MOHP138,Màn hình HP P241V (23.8 inch/FHD/IPS/5ms/250 nits/HDMI+VGA+DVI),24 tháng,3499000,2999000,Categories/img/Monitor/250_52563_hp_p241v__6_.jpg,- Độ phân giải 1920 x 1080 ( 16:9 ).- Tấm nền IPS LED.- Kiểu màn hình Màn hình phẳng.- Thời gian phản hồi 5 ms.- Tần số quét 60Hz.
MOLG171,Màn hình LG 34WK95C-W (34 inch/2K/NanoIPS/75Hz/5ms/400 nits/HDMI+DP+USB-C/Cong),24 tháng,28048900,25499000,Categories/img/Monitor/250_52755_34wk95c_new.png,"- Màn hình siêu rộng, cong 34 inch.- Độ phân giải 3440 x 1440.- Màn hình Nano IPS.- Gam màu DCI-P3 98%.- VESA DisplayHDR ™ 400."
MODE172,Màn hình Dell U2520DR (25 inch/2K/IPS/60Hz/5-8ms/350 nits/HDMI+DP),24 tháng,9999000,9499000,Categories/img/Monitor/250_52973_u2525.jpg,- Tái tạo màu sắc trung thực với độ bao phủ màu rộng bao gồm 99% sRGB 99% Rec 709 và 95% DCI-P3 Với độ phủ màu lớn hơn khoảng 25% so với sRGB DCI-P3 đang trở thành tiêu chuẩn màu mới..- Chế độ xem không bị gián đoạn trên nhiều màn hình với InfinityEdge .- Cài đặt nhanh chóng đa màn hình USB-C thuận tiện nhất thế giới Dell Express Daisy Chaining cho phép tự động phát hiện màn hình thứ hai bỏ qua bước thủ công thay đổi cài đặt OSD.- Linh hoạt cho sự thoải mái cả ngày với trục xoay và điều chỉnh độ cao của màn hình để phù hợp với nhu cầu của bạn.
MOSA211,Màn hình Samsung LF24T350FHEXXV (24inch/FHD/IPS/75Hz/5ms/250nits/HDMI+DSub/Freesync),24 tháng,3679000,3339000,Categories/img/Monitor/250_54261_lf24t350__4_.png,- Tỉ lệ: 16:9.- Kích thước: 24 inch.- Tấm nền: IPS.- Độ phân giải: Full HD (1920x1080).- Tốc độ làm mới: 75Hz.
GIAT148,Giá đỡ màn hình máy tính gắn cạnh bàn North Bayou H80 (17-27 inch),24 tháng,699000,649000,Categories/img/Monitor/250_53930_nb_h80__2_.png,- Model: H80.- Hãng sản xuất: North Bayou [NB].- Màu sắc: Đen - Trắng.- Dùng cho màn hình vi tính từ 17inch đến 27inch.- Trọng tải 2kg đến 9kg.
